Tweet_id,Name,Id,Follower_count,Tweet,Favourites_count,Retweet_count,Topic_name,Fav_R,Fol_R,Ret_R,Event_Engagement,User_Influence,Polarity,Sentiment_Score,User_Activity,Cred_Score
1211133147242360832,btb0YqzqCUBHDBX,1185544883001380864,4,Winter Down Jacket Coats Men Fashion 2 in 1 Outwear Thicken Warm Down Parka Patchwork Waterproof Hood Men Jacket Size L-5XL 6XL https://t.co/TBroFRNBl7,0,0
1211133147745787904,CaryLNabors,26625539,392,I feel like I will bring my grandkids to Clemson football games and the band will STILL be playing “All of the Lights”,78,26
1211133148379127809,jjeffrose,16755855,31785,Joe Burrows scored more points than my entire team last week in fantasy football.,6357,2119
1211133148513415168,coachmac311,1054028747987451904,168,@OfficUnofficPod @DrivelineBB This is somehow game related? @DrivelineBB  should focus on Cricket...global lock,33,11
1211133149108953088,NilsHeadley,1247894310,333,@KPMarie48 @Fiesta_Bowl @espncollegenews Do you watch much football?,66,22
1211133149440286720,jeunkoo,1149162758396686337,84,"@shawnxniallx Stream winter bear, singularity y stigma",16,5
1211133152812584960,IKudinenko,755090798048337920,318,"Daily Giveaway on @Allkeyshop.com Win Games or Premium Prize
Today Game = Football manager 2020
Premium Prize = PS4
https://t.co/rEj4RqWqBP

#Giveaway #PS4 #Footballmanager2020",63,21
1211133156918747138,oncelstay2,1197110687815872512,198,@weareoneEXO bad dream,39,13
1211133157379997696,Artfull01,4874464340,2215,"The way progress happens is through improved technology. Instead of just going around bitching and not contributing anything, she could get her butt in school, learn environmental engineering, and truly change the world. But...that would require this brat actually does something.",443,147
1211133158521024513,ARKlaussen,32273292,300,"On a glorious winter day, I wanted to explore Walden Pond and see for myself the large tree that fell right in front of my granddaughter and her parents who were out for a walk with my goddaughter, her husband and... https://t.co/5rY4x9FUmf",60,20
1211133158634250242,IHOLDSHIFT,621556484,5226,@Quatrohock3y I'm an IU fan. I actually hate OSU I just want good football. You don't want your kicker getting hit snap it back an extra few yards. You can't expect that guy to stop mid block attempt in less than a second. That's horseshit,1045,348
1211133161800978433,fisherw823,857240858235731968,43,YES CHEATING NOW THE AMERICAN WAY OF LIED FROM PRESIDENT TO FOOTBALL\SAD,8,2
1211133162908266497,m_loyd13,4836715239,63,@jackieOshea25 Whining?😂😂😂I couldn’t care less about either of these teams I’m simply watching and commenting on a football game,12,4
1211133165303193601,ngpoulos,20722768,3979,"Ohio State vs. Clemson: Buckeyes lead, but Trevor Lawrence and the Tigers are rallying https://t.co/hq43Kq7dRP",795,265
1211133165445636096,aelaaaaa23,3246698642,345,My winter bear is turning 24 tomorrow.,69,23
1211133165374509056,Word132,1181389294847574019,25,"@WhiteHouse Trump's Mar-A-Lago winter vacation pushes his taxpayer-funded golf tab past $118 million.

That amount is equivalent to 296 years of the $400,000 presidential salary that his supporters often boast he's not taking. https://t.co/JuZYuW6fRA via @svdate",5,1
1211133166284611584,tremaine_pitts,1057092713391251468,17,"@MACBulldogsFB I want to play some college football!!!!
https://t.co/wL2zYaLuDe",3,1
1211133166091689984,BeforeChelsea,1174348659854663680,114,"Woah. I didn't realize some of these things happened so early in the decade. It feels like yesterday that they created the first synthetic genome and found the Higgs bozon. 

https://t.co/fZV3vbUpmo",22,7
1211133167760887808,NatDex,3059297757,535,"Poochyena: A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted.",107,35
1211133170277597185,ahill1056aj,1038932284185960448,28,Top 10 football game I have watched all year gawwd damn!!!,5,1
1211133171091333120,gennabeeee,24023077,176,"@noeydeschanel i hate it when i see people that have dog strollers and think its okay for them to be in target. no thanks, id rather see a service dog in target, then your little football",35,11
1211133173247201281,SurvivinAmerica,46527860,26087,Why didn’t they specify nature of Dobbins injury? And isn’t it job of reporter to find out...?? 🤦🏾‍♀️,5217,1739
1211133178099818497,TJFlamson,4153202113,184,"@nytimes You forgot ""discredited race science we let our idiot columnists spew""",36,12
1211133180025200641,IAM_JamesM,471155282,1794,"@Sjoneshskr If you pay attention you see corruption anywhere. Any sort of abuse of power from those w/authority deemed corrupt. Sadly we've seen it get worse &amp; worse in football &amp; other sports. We must remain honorable, otherwise, why would anyone watch that sort of trash #shinesomelightonit",358,119
1211133180327149574,MAhealthforkids,857589911511281664,5619,"@truetomharley @SharylAttkisson @and_kell Do you rely on your memory for all medical advice? If your loved one gets pancreatic cancer &amp; you didn’t remember anyone who died from it, do you say “easy disease, don’t bother with a treatment because I don’t remember any bad things about it”?

Individual anecdotes =/= science.",1123,374
1211133183447703552,BenDangerously,1029155087879471105,311,"Simply put, football isn't football anymore.",62,20
1211133184663900160,BCarfree,1061113260601032704,316,"@ItsMeUncleMario @Ollie_Cycles @GalinMcMahon @nerdynel17 @elonmusk Let's definitely be sophisticated by ignoring all the science. By all means let's put the main hypotheses to the test. Maybe, in spite of overwhelming data, we can keep this car addiction and not destroy civilization and starve billions as we threaten humanity itself.",63,21
1211133187411320832,smileygawd,837876569729286144,209,@1886BKNETS Also watch inexperienced prospects play football. I get why people watch NfL but college? Is your life that boring? It’s like watching Ajax youth academy players play soccer for 4 hours.,41,13
1211133187574792192,Tim__92,1662959138,1886,@goknickstape Called multi tasking. Plus college football brings in WAYYY more ratings,377,125
1211133187973361664,kmcorder,40564434,1191,The #Knicks are back.,238,79
1211133189726646272,alexcraig63,379283211,227,I’m stressed. Football stresses me out more than shit that shold actually stress me out.,45,15
1211133189978284038,SLiepzig43,852270372745596932,272,@BeanAfanofit First football game?,54,18
1211133190989107200,Kolturnt,2811630672,162,"Straights wearing shorts in the winter
IS THE SAME AS
Gays ordering iced coffee in the winter

WE ARE ALL HUMAN (straights still deserve time be bullied tho)",32,10
1211133195229573121,chs87,26138115,59,@TonyClementsTC One was definitely a football play and one wasn’t....quite obvious!!!,11,3
1211133195967750144,Itsyaboytim1,957075728641724416,2200,The only question science fails to answer properly is what actually happens to us after death.. it’s mad how that is literally the only thing we’ll eventually only find out for ourselves🤔,440,146
1211133197578321920,KrisGuerrero_,374329859,420,"@BrandonGBlake To me, it was a textbook form tackle on a 6’6” quarterback who ducked into the hit. Defender definitely wasn’t head hunting, unlike the DB from OU in the game before. But you’re probably baby shit soft and what’s wrong with football now days",84,28
